"Age","centile_5","centile_10","centile_25","centile_50","centile_75","centile_90","centile_95"
21,0.00122459201640761,0.00127869949156154,0.0013928082859679,0.00156484220692593,0.00175305759404088,0.0018987622140297,0.00197488243118866
22,0.00121709875629708,0.00127141299814446,0.00138554886830075,0.00155696937926441,0.00174444054975141,0.00189005984553472,0.00196641232071069
23,0.00120961380536179,0.00126413857124601,0.00137830220106115,0.00154909655160289,0.00173580881642533,0.00188134161086588,0.00195793022430742
24,0.00120213716939873,0.00125687635507249,0.00137106850372127,0.00154122372394137,0.00172716216744345,0.00187260735530798,0.0019494361546646
25,0.00119466885680172,0.00124962650219566,0.0013638480054607,0.00153335089627985,0.00171850036603979,0.00186385691415499,0.00194093012108134
26,0.0011872088788491,0.00124238917414034,0.00135664094572334,0.00152547806861833,0.00170982316471663,0.00185509011198866,0.00193241212906579
27,0.00117975725002237,0.0012351645420211,0.00134944757481346,0.00151760524095681,0.00170113030461875,0.00184630676189739,0.00192388217988846
28,0.00117231398835928,0.00122795278723285,0.00134226815453418,0.00150973241329529,0.00169242151486376,0.00183750666463006,0.00191534027008821
29,0.00116487911584553,0.00122075410220043,0.00133510295887203,0.00150185958563377,0.00168369651182466,0.00182868960767823,0.00190678639092576
30,0.00115745265884923,0.00121356869119319,0.00132795227473123,0.00149398675797224,0.00167495499836092,0.0018198553642798,0.00189822052777858
31,0.00115003464860338,0.00120639677121093,0.00132081640272221,0.00148611393031072,0.00166619666299352,0.00181100369233651,0.00188964265947034
32,0.00114262512174199,0.00119923857294852,0.00131369565800885,0.0014782411026492,0.00165742117901936,0.00180213433323642,0.00188105275752749
33,0.00113522748773702,0.00119209739623933,0.00130659350096024,0.00147037271377315,0.00164863414561065,0.001793253157161,0.00187245652467586
34,0.00112785863675541,0.00118498870033748,0.00129952580040107,0.00146253095760994,0.00163986505351825,0.00178439068739489,0.00186388259008888
35,0.00112053445377244,0.00117792685099255,0.001292507187336,0.00145473668915918,0.00163114192652247,0.00177557579302372,0.00185535780763277
36,0.00111325325582863,0.00117091027754578,0.00128553597355905,0.00144698765256776,0.00162246187505052,0.00176680538036877,0.00184687919936568
37,0.00110601059837217,0.00116393496129585,0.00127860799898242,0.00143927796294032,0.00161381705503472,0.00175807127376689,0.0018384391160864
38,0.00109880775601854,0.0011570020240091,0.00127172433565121,0.00143160925178332,0.00160520976036461,0.00174937574331632,0.0018300395967517
39,0.00109164457285293,0.00115011130052543,0.00126488474314932,0.00142398126703194,0.0015966397461767,0.00174071844067388,0.00182168024933059
40,0.00108452087144228,0.00114326260239496,0.00125808895390715,0.00141639372697541,0.00158810673547497,0.00173209898103567,0.00181336064255933
41,0.00107743647378566,0.0011364557394522,0.00125133669643694,0.00140884634651868,0.00157961044870253,0.0017235169748545,0.00180508033852302
42,0.00107039119498597,0.00112969051401754,0.00124462768895686,0.00140133882711068,0.00157115058943353,0.00171497201247044,0.00179683887787297
43,0.00106338485919996,0.00112296673531098,0.00123796165417467,0.0013938708779595,0.00156272687292988,0.00170646369370108,0.00178863580744785
44,0.00105641727456198,0.00111628419505193,0.00123133829294664,0.00138644218120201,0.00155433898169078,0.00169799158034569,0.00178047063348483
45,0.00104948825702214,0.00110964269177573,0.00122475731128918,0.00137905242570194,0.00154598660687661,0.00168955524148774,0.00177234286782967
46,0.00104259763680963,0.0011030420376825,0.00121821842768868,0.00137170131442912,0.00153766945567883,0.00168115426131553,0.00176425203619907
47,0.00103574526927753,0.00109648206987856,0.00121172138514215,0.00136438857759592,0.00152938726559104,0.00167278825430461,0.00175619769381957
48,0.00102893101713555,0.00108996263194053,0.00120526593145454,0.00135711395123324,0.00152113978118649,0.00166445684061927,0.00174817940006978
49,0.00102215475202407,0.00108348357554378,0.00119885182102443,0.00134987717923128,0.00151292675643145,0.00165615964865962,0.00174019672112025
50,0.00101541637917979,0.00107704478618267,0.00119247884266203,0.00134267804406058,0.00150474798849132,0.00164789635138594,0.00173224926760632
51,0.00100871581948684,0.00107064616446601,0.0011861467994197,0.00133551634455036,0.00149660329331111,0.0016396666401836,0.00172433666754168
52,0.00100205299638429,0.00106428761243015,0.00117985549379262,0.00132839187958408,0.00148849248770181,0.00163147020566287,0.00171645854637879
53,0.00099542781188667,0.00105796900830853,0.00117360470022063,0.00132130441772533,0.00148041535593954,0.0016233067016954,0.00170861448954156
54,0.000988840144957403,0.0010516902047145,0.00116739416302383,0.0013142536949643,0.00147237164731361,0.00161517574272551,0.00170080403952764
55,0.000982289878006767,0.00104545105639612,0.00116122362658109,0.00130723944811356,0.00146436111289907,0.00160707694336028,0.00169302673704277
56,0.000975776909169518,0.00103925143361806,0.00115509285085772,0.00130026143319073,0.00145638352708091,0.00159900994277498,0.00168528214710814
57,0.000969301173358353,0.00103309124534693,0.0011490016386221,0.00129331945784708,0.00144843872572675,0.00159097444828359,0.0016775699059181
58,0.000962862615004498,0.00102697040940012,0.00114294980066957,0.00128641333999791,0.00144052655748899,0.00158297018004931,0.0016698896615758
59,0.000956461197304602,0.00102088886218918,0.00113693716646655,0.00127954291951331,0.00143264689657629,0.00157499688491291,0.00166224108854962
60,0.000950097027576338,0.00101484669338423,0.00113096373560497,0.00127270823024512,0.00142479983697631,0.00156705455157945,0.00165462411581045
61,0.000943770288142426,0.00100884407220038,0.00112502959548959,0.00126590940648684,0.00141698558671389,0.00155914329404057,0.00164703880380389
62,0.00093748116013971,0.00100288116570173,0.00111913482963668,0.00125914657875317,0.00140920435007555,0.00155126322128599,0.00163948520649348
